set_name,item_title,raw_price,image_url
Pokemon Black & White,3-Pack Blister,$293.56,https://storage.googleapis.com/images.pricecharting.com/56wct7v5zr4ghste/60.jpg
Pokemon Black & White,Booster Pack [Preview],$28.99,https://storage.googleapis.com/images.pricecharting.com/ao55h7nfllpdjm6n/60.jpg
Pokemon Black & White,Zekrom Box,$373.40,https://storage.googleapis.com/images.pricecharting.com/4ztqtmvoot7sjjsj/60.jpg
Pokemon Black & White,Superb Serperior Box,$499.99,https://storage.googleapis.com/images.pricecharting.com/spotnooclxamcxrm/60.jpg
Pokemon Black & White,Reshiram Box,$307.43,https://storage.googleapis.com/images.pricecharting.com/2q5k7vui372fmeku/60.jpg
Pokemon Black & White,Collector's Album Box,$159.19,https://storage.googleapis.com/images.pricecharting.com/02dce7081e1f2ea85edcf35c95abc306d7102264b3f93a77457b36d24e4326f0/60.jpg
Pokemon Black & White,Fighting Energy #110,$3.30,https://storage.googleapis.com/images.pricecharting.com/512a5d846d02042cb097d912d8784196dddc3c995f9a544273601b13d455f5dd/60.jpg
Pokemon Black & White,Fighting Energy [Holo] #110,$1.07,https://storage.googleapis.com/images.pricecharting.com/c7tswljkv4wc6cqr/60.jpg
Pokemon Black & White,Super Snivy Box,$325.00,https://storage.googleapis.com/images.pricecharting.com/zuhk65beu4u65y5y/60.jpg
Pokemon Black & White,Fighting Energy [Play! Promo] #110,$4.20,https://storage.googleapis.com/images.pricecharting.com/32z4gquwrqof2653/60.jpg
Pokemon Call Of Legends,Booster Box,"$14,000.00",https://storage.googleapis.com/images.pricecharting.com/ref07751cad58a5545db6ad66ef0925572dea08e32c86d043dd08d33db65cd98371/60.jpg
Pokemon Call Of Legends,Booster Pack,$306.95,https://storage.googleapis.com/images.pricecharting.com/31d3ac2325e07cd3962abe71078e44c202b4000b01007f0a28a8d3117edeed19/60.jpg
Pokemon Call Of Legends,Fighting Energy #93,$28.00,https://storage.googleapis.com/images.pricecharting.com/2faea2f478c1023029afc45873c8da2a4cf856693c9f6f027da6affd1c2bce46/60.jpg
Pokemon Celebrations,Charizard [Premium Collection] #4,$177.76,https://storage.googleapis.com/images.pricecharting.com/0f8044b42b4144079e4cc4baaa03dbcc3fefbdae325b8a24df975ac0ff77ea36/60.jpg
Pokemon Celebrations,Elite Trainer Box,$227.50,https://storage.googleapis.com/images.pricecharting.com/cf4b964a0e81d4b738f1bca2a1cab4dfb630f55de3df988e96c73471111fc87d/60.jpg
Pokemon Celebrations,Pikachu [Premium Collection] #58,$65.50,https://storage.googleapis.com/images.pricecharting.com/c3815729c44eecd766631d174328951ce945dbd90f5296a752e5ae8e11e26ef8/60.jpg
Pokemon Celebrations,Ultra Premium Collection Box,$755.00,https://storage.googleapis.com/images.pricecharting.com/7223a440ebcc5c3e56169ec8c79df87033a77564388f22327f2511557cb05520/60.jpg
Pokemon Black Bolt,Victini #171,$427.02,https://storage.googleapis.com/images.pricecharting.com/vamgdlbhxzysyvlp/60.jpg
Pokemon Black Bolt,Elite Trainer Box,$78.50,https://storage.googleapis.com/images.pricecharting.com/qztrertux7xyasvm/60.jpg
Pokemon Black Bolt,Unova Victini Illustration Collection,$39.00,https://storage.googleapis.com/images.pricecharting.com/ehphrryt6lco2rs7/60.jpg
Pokemon Black Bolt,Binder Collection,$48.31,https://storage.googleapis.com/images.pricecharting.com/u6r5sbritq5stjv7/60.jpg
Pokemon Black Bolt,Unova Poster Collection,$30.16,https://storage.googleapis.com/images.pricecharting.com/gpu5huu5qiaiwd2g/60.jpg
Pokemon Black Bolt,Unova Mini Tin Display,$159.99,https://storage.googleapis.com/images.pricecharting.com/gugqjkjwgxv4owx7/60.jpg
